id,original_sentence,aspect,label_id,label
1000,음식은 특히 더 기본적인 요리와 음료가 맛있습니다.,분위기,4,없음
1001,이곳은 타지 사람들을 데려가기에 좋은 장소이며 일몰을 보기에 완벽합니다.,분위기,0,긍정
1002,전망은 훌륭하고 음식은 훌륭합니다.,분위기,0,긍정
1003,딸기 다이커리 훌륭해요!,분위기,4,없음
1004,Battery Park City로의 여행의 가치가 있습니다!,분위기,4,없음
1005,맨하탄에서 내가 가장 좋아하는 장소 중 하나.,분위기,4,없음
1006,나는 딤섬을 위해 여러 장소에 갔고 이것은 최악이었습니다.,분위기,4,없음
1007,딤섬 쟁반을 가지고 돌아다니지 않아도 되네요.,분위기,0,긍정
1008,메뉴에서 주문하기 때문에 전체 경험을 놓친 것처럼 느껴집니다.,분위기,4,없음
1009,서비스는 나빴고 음식은 영원히 오기까지 걸렸고 우리는 위층에 앉았습니다.,분위기,4,없음
101,나는 앤디 워홀이 자주 그 장소에 갔을 때의 사진을 좋아합니다(그는 창에 발라토 사인을 그렸습니다).,분위기,0,긍정
1010,그리고 그 법안은 터무니없었습니다.,분위기,4,없음
1011,우리는 실제로 배고프고 좋은 중국 음식을 위해 15 Mott 거리에서 Wo Hop에 길 건너편에 갔다.,분위기,4,없음
1012,중국 디저트는 단맛 외에도 건강에 좋은 것으로 알려져 있습니다.,분위기,4,없음
1013,지금까지 이것은 몇 가지 품종의 개구리 젤리와 흑초에 조린 돼지 발 생강으로 디저트를 제공하는 NY 또는 북동부 아메리카에서 가까운 곳에서 내가 아는 유일한 중국 디저트 장소입니다.,분위기,4,없음
1014,분위기 짱!!!,분위기,0,긍정
1015,친구와 함께 건강한 음료와 디저트를 즐기기에 좋은 곳입니다.,분위기,0,긍정
1017,때때로 나는 좋은 음식과 괜찮은 서비스를 얻습니다.,분위기,4,없음
1018,"때로는 나쁜 음식과 나쁜 서비스를 받고, 때로는 좋은 좋은 서비스와 나쁜 서비스를 받습니다.",분위기,4,없음
1019,한결같지 않아요.,분위기,4,없음
102,주인인 Emilio는 종종 앞 테이블에 앉아 손님이 오고 갈 때 인사를 합니다.,분위기,4,없음
1020,정말 당신의 운에 달려 있습니다!,분위기,4,없음
